DateTime, Sensor, Temperature (Celcius)
2017-04-28 00:00:13 +0800, MAX6675, 24.068182
2017-04-28 00:00:37 +0800, MAX6675, 24.090910
2017-04-28 00:01:02 +0800, MAX6675, 24.000000
2017-04-28 00:01:26 +0800, MAX6675, 24.136364
2017-04-28 00:01:51 +0800, MAX6675, 24.090910
2017-04-28 00:02:15 +0800, MAX6675, 23.977272
2017-04-28 00:02:40 +0800, MAX6675, 24.227272
2017-04-28 00:03:04 +0800, MAX6675, 24.159090
2017-04-28 00:03:29 +0800, MAX6675, 24.045454
2017-04-28 00:03:53 +0800, MAX6675, 23.931818
2017-04-28 00:04:18 +0800, MAX6675, 24.045454
2017-04-28 00:04:42 +0800, MAX6675, 24.136364
2017-04-28 00:05:07 +0800, MAX6675, 24.159090
2017-04-28 00:05:31 +0800, MAX6675, 24.113636
2017-04-28 00:05:56 +0800, MAX6675, 24.113636
2017-04-28 00:06:20 +0800, MAX6675, 24.204546
2017-04-28 00:06:45 +0800, MAX6675, 24.136364
2017-04-28 00:07:09 +0800, MAX6675, 24.022728
2017-04-28 00:07:34 +0800, MAX6675, 24.136364
2017-04-28 00:07:58 +0800, MAX6675, 24.022728
2017-04-28 00:08:23 +0800, MAX6675, 24.068182
2017-04-28 00:08:47 +0800, MAX6675, 24.045454
2017-04-28 00:09:12 +0800, MAX6675, 24.113636
2017-04-28 00:09:36 +0800, MAX6675, 23.977272
2017-04-28 00:10:01 +0800, MAX6675, 24.159090
2017-04-28 00:10:25 +0800, MAX6675, 24.000000
2017-04-28 00:10:50 +0800, MAX6675, 24.068182
2017-04-28 00:11:14 +0800, MAX6675, 24.136364
2017-04-28 00:11:38 +0800, MAX6675, 23.909090
2017-04-28 00:12:03 +0800, MAX6675, 24.090910
2017-04-28 00:12:27 +0800, MAX6675, 24.090910
2017-04-28 00:12:52 +0800, MAX6675, 24.227272
2017-04-28 00:13:16 +0800, MAX6675, 24.090910
2017-04-28 00:13:41 +0800, MAX6675, 24.113636
2017-04-28 00:14:05 +0800, MAX6675, 24.090910
2017-04-28 00:14:30 +0800, MAX6675, 24.045454
2017-04-28 00:14:54 +0800, MAX6675, 24.227272
2017-04-28 00:15:19 +0800, MAX6675, 24.090910
2017-04-28 00:15:43 +0800, MAX6675, 24.068182
2017-04-28 00:16:08 +0800, MAX6675, 24.000000
2017-04-28 00:16:32 +0800, MAX6675, 24.090910
2017-04-28 00:16:57 +0800, MAX6675, 24.113636
2017-04-28 00:17:21 +0800, MAX6675, 24.227272
2017-04-28 00:17:46 +0800, MAX6675, 24.136364
2017-04-28 00:18:10 +0800, MAX6675, 24.136364
2017-04-28 00:18:35 +0800, MAX6675, 24.090910
2017-04-28 00:18:59 +0800, MAX6675, 24.113636
2017-04-28 00:19:24 +0800, MAX6675, 24.113636
2017-04-28 00:19:48 +0800, MAX6675, 24.227272
2017-04-28 00:20:13 +0800, MAX6675, 24.068182
2017-04-28 00:20:37 +0800, MAX6675, 24.068182
2017-04-28 00:21:02 +0800, MAX6675, 24.159090
2017-04-28 00:21:26 +0800, MAX6675, 23.954546
2017-04-28 00:21:51 +0800, MAX6675, 23.977272
2017-04-28 00:22:15 +0800, MAX6675, 24.045454
2017-04-28 00:22:40 +0800, MAX6675, 23.886364
2017-04-28 00:23:04 +0800, MAX6675, 24.068182
2017-04-28 00:23:29 +0800, MAX6675, 23.909090
2017-04-28 00:23:53 +0800, MAX6675, 24.181818
2017-04-28 00:24:17 +0800, MAX6675, 23.886364
2017-04-28 00:24:42 +0800, MAX6675, 24.022728
2017-04-28 00:25:06 +0800, MAX6675, 24.090910
2017-04-28 00:25:31 +0800, MAX6675, 24.022728
2017-04-28 00:25:55 +0800, MAX6675, 24.159090
2017-04-28 00:26:20 +0800, MAX6675, 24.136364
2017-04-28 00:26:44 +0800, MAX6675, 24.045454
2017-04-28 00:27:09 +0800, MAX6675, 24.045454
2017-04-28 00:27:33 +0800, MAX6675, 24.113636
2017-04-28 00:27:58 +0800, MAX6675, 24.068182
2017-04-28 00:28:22 +0800, MAX6675, 23.931818
2017-04-28 00:28:47 +0800, MAX6675, 24.045454
2017-04-28 00:29:11 +0800, MAX6675, 24.090910
2017-04-28 00:29:36 +0800, MAX6675, 24.204546
2017-04-28 00:30:00 +0800, MAX6675, 24.022728
2017-04-28 00:30:25 +0800, MAX6675, 23.954546
2017-04-28 00:30:49 +0800, MAX6675, 24.227272
2017-04-28 00:31:14 +0800, MAX6675, 24.818182
2017-04-28 00:31:38 +0800, MAX6675, 25.727272
2017-04-28 00:32:03 +0800, MAX6675, 27.136364
