DateTime, Sensor, Temperature (Celcius)
2017-09-18 00:00:12 +0800, MAX6675, 30.613636
2017-09-18 00:00:37 +0800, MAX6675, 30.681818
2017-09-18 00:01:01 +0800, MAX6675, 30.659090
2017-09-18 00:01:26 +0800, MAX6675, 30.681818
2017-09-18 00:01:50 +0800, MAX6675, 30.659090
2017-09-18 00:02:15 +0800, MAX6675, 30.681818
2017-09-18 00:02:39 +0800, MAX6675, 30.795454
2017-09-18 00:03:04 +0800, MAX6675, 30.659090
2017-09-18 00:03:28 +0800, MAX6675, 30.613636
2017-09-18 00:03:53 +0800, MAX6675, 30.704546
2017-09-18 00:04:17 +0800, MAX6675, 30.659090
2017-09-18 00:04:42 +0800, MAX6675, 30.727272
2017-09-18 00:05:06 +0800, MAX6675, 30.568182
2017-09-18 00:05:31 +0800, MAX6675, 30.636364
2017-09-18 00:05:55 +0800, MAX6675, 30.727272
2017-09-18 00:06:20 +0800, MAX6675, 30.863636
2017-09-18 00:06:44 +0800, MAX6675, 30.704546
2017-09-18 00:07:09 +0800, MAX6675, 30.613636
2017-09-18 00:07:33 +0800, MAX6675, 30.772728
2017-09-18 00:07:58 +0800, MAX6675, 30.795454
2017-09-18 00:08:22 +0800, MAX6675, 30.636364
2017-09-18 00:08:47 +0800, MAX6675, 30.613636
2017-09-18 00:09:11 +0800, MAX6675, 30.613636
2017-09-18 00:09:36 +0800, MAX6675, 30.681818
2017-09-18 00:10:00 +0800, MAX6675, 30.659090
2017-09-18 00:10:25 +0800, MAX6675, 30.636364
2017-09-18 00:10:49 +0800, MAX6675, 30.750000
2017-09-18 00:11:14 +0800, MAX6675, 30.795454
2017-09-18 00:11:38 +0800, MAX6675, 30.818182
2017-09-18 00:12:03 +0800, MAX6675, 30.545454
2017-09-18 00:12:27 +0800, MAX6675, 30.636364
2017-09-18 00:12:51 +0800, MAX6675, 30.772728
2017-09-18 00:13:16 +0800, MAX6675, 30.613636
2017-09-18 00:13:40 +0800, MAX6675, 30.795454
2017-09-18 00:14:05 +0800, MAX6675, 30.590910
2017-09-18 00:14:29 +0800, MAX6675, 30.636364
2017-09-18 00:14:54 +0800, MAX6675, 30.409090
2017-09-18 00:15:18 +0800, MAX6675, 30.590910
2017-09-18 00:15:43 +0800, MAX6675, 30.818182
2017-09-18 00:16:07 +0800, MAX6675, 30.772728
2017-09-18 00:16:32 +0800, MAX6675, 30.636364
2017-09-18 00:16:56 +0800, MAX6675, 30.681818
2017-09-18 00:17:21 +0800, MAX6675, 30.750000
2017-09-18 00:17:45 +0800, MAX6675, 30.795454
2017-09-18 00:18:10 +0800, MAX6675, 30.636364
2017-09-18 00:18:34 +0800, MAX6675, 30.681818
2017-09-18 00:18:59 +0800, MAX6675, 30.727272
2017-09-18 00:19:23 +0800, MAX6675, 30.636364
2017-09-18 00:19:48 +0800, MAX6675, 30.636364
2017-09-18 00:20:12 +0800, MAX6675, 30.681818
2017-09-18 00:20:37 +0800, MAX6675, 30.522728
2017-09-18 00:21:01 +0800, MAX6675, 30.727272
2017-09-18 00:21:26 +0800, MAX6675, 30.681818
2017-09-18 00:21:50 +0800, MAX6675, 30.704546
2017-09-18 00:22:15 +0800, MAX6675, 30.431818
2017-09-18 00:22:39 +0800, MAX6675, 30.727272
2017-09-18 00:23:04 +0800, MAX6675, 30.636364
2017-09-18 00:23:28 +0800, MAX6675, 30.750000
2017-09-18 00:23:53 +0800, MAX6675, 30.704546
2017-09-18 00:24:17 +0800, MAX6675, 30.772728
2017-09-18 00:24:41 +0800, MAX6675, 30.659090
2017-09-18 00:25:06 +0800, MAX6675, 30.636364
2017-09-18 00:25:30 +0800, MAX6675, 30.681818
2017-09-18 00:25:55 +0800, MAX6675, 30.590910
2017-09-18 00:26:19 +0800, MAX6675, 30.477272
2017-09-18 00:26:44 +0800, MAX6675, 30.659090
2017-09-18 00:27:08 +0800, MAX6675, 30.659090
2017-09-18 00:27:33 +0800, MAX6675, 30.795454
2017-09-18 00:27:57 +0800, MAX6675, 30.613636
2017-09-18 00:28:22 +0800, MAX6675, 30.772728
2017-09-18 00:28:46 +0800, MAX6675, 30.750000
2017-09-18 00:29:11 +0800, MAX6675, 30.704546
2017-09-18 00:29:35 +0800, MAX6675, 30.681818
2017-09-18 00:30:00 +0800, MAX6675, 30.750000
2017-09-18 00:30:24 +0800, MAX6675, 30.545454
2017-09-18 00:30:49 +0800, MAX6675, 30.909090
2017-09-18 00:31:13 +0800, MAX6675, 31.431818
2017-09-18 00:31:38 +0800, MAX6675, 32.590908
2017-09-18 00:32:02 +0800, MAX6675, 33.772728
2017-09-18 00:32:27 +0800, MAX6675, 34.977272
2017-09-18 00:32:51 +0800, MAX6675, 36.750000
2017-09-18 00:33:16 +0800, MAX6675, 38.250000
2017-09-18 00:33:40 +0800, MAX6675, 39.636364
2017-09-18 00:34:05 +0800, MAX6675, 40.909092
2017-09-18 00:34:29 +0800, MAX6675, 41.886364
2017-09-18 00:34:54 +0800, MAX6675, 43.204544
2017-09-18 00:35:18 +0800, MAX6675, 44.227272
2017-09-18 00:35:43 +0800, MAX6675, 45.068180
2017-09-18 00:36:07 +0800, MAX6675, 45.795456
2017-09-18 00:36:31 +0800, MAX6675, 46.477272
2017-09-18 00:36:56 +0800, MAX6675, 47.000000
2017-09-18 00:37:20 +0800, MAX6675, 47.613636
2017-09-18 00:37:45 +0800, MAX6675, 48.068180
2017-09-18 00:38:09 +0800, MAX6675, 48.409092
2017-09-18 00:38:34 +0800, MAX6675, 48.750000
2017-09-18 00:38:58 +0800, MAX6675, 49.090908
2017-09-18 00:39:23 +0800, MAX6675, 49.318180
2017-09-18 00:39:47 +0800, MAX6675, 49.545456
2017-09-18 00:40:12 +0800, MAX6675, 49.772728
2017-09-18 00:40:36 +0800, MAX6675, 49.886364
2017-09-18 00:41:01 +0800, MAX6675, 50.022728
2017-09-18 00:41:25 +0800, MAX6675, 50.068180
2017-09-18 00:41:50 +0800, MAX6675, 50.204544
2017-09-18 00:42:14 +0800, MAX6675, 50.340908
2017-09-18 00:42:39 +0800, MAX6675, 50.431820
2017-09-18 00:43:03 +0800, MAX6675, 50.500000
2017-09-18 00:43:28 +0800, MAX6675, 50.477272
2017-09-18 00:43:52 +0800, MAX6675, 50.545456
2017-09-18 00:44:17 +0800, MAX6675, 50.613636
2017-09-18 00:44:41 +0800, MAX6675, 50.727272
2017-09-18 00:45:06 +0800, MAX6675, 50.681820
2017-09-18 00:45:30 +0800, MAX6675, 50.863636
2017-09-18 00:45:55 +0800, MAX6675, 50.704544
2017-09-18 00:46:19 +0800, MAX6675, 50.636364
2017-09-18 00:46:44 +0800, MAX6675, 50.840908
2017-09-18 00:47:08 +0800, MAX6675, 50.681820
2017-09-18 00:47:33 +0800, MAX6675, 50.818180
2017-09-18 00:47:57 +0800, MAX6675, 50.795456
2017-09-18 00:48:22 +0800, MAX6675, 50.795456
2017-09-18 00:48:46 +0800, MAX6675, 50.795456
2017-09-18 00:49:11 +0800, MAX6675, 50.795456
2017-09-18 00:49:35 +0800, MAX6675, 50.977272
2017-09-18 00:49:59 +0800, MAX6675, 50.886364
2017-09-18 00:50:24 +0800, MAX6675, 50.954544
2017-09-18 00:50:48 +0800, MAX6675, 50.772728
2017-09-18 00:51:13 +0800, MAX6675, 50.909092
2017-09-18 00:51:37 +0800, MAX6675, 51.204544
2017-09-18 00:52:02 +0800, MAX6675, 51.272728
2017-09-18 00:52:26 +0800, MAX6675, 51.204544
2017-09-18 00:52:51 +0800, MAX6675, 51.204544
2017-09-18 00:53:15 +0800, MAX6675, 51.159092
2017-09-18 00:53:40 +0800, MAX6675, 51.000000
2017-09-18 00:54:04 +0800, MAX6675, 51.181820
2017-09-18 00:54:29 +0800, MAX6675, 51.272728
2017-09-18 00:54:53 +0800, MAX6675, 51.363636
2017-09-18 00:55:18 +0800, MAX6675, 51.295456
2017-09-18 00:55:42 +0800, MAX6675, 51.295456
2017-09-18 00:56:07 +0800, MAX6675, 51.181820
2017-09-18 00:56:31 +0800, MAX6675, 51.340908
2017-09-18 00:56:56 +0800, MAX6675, 51.363636
2017-09-18 00:57:20 +0800, MAX6675, 51.500000
2017-09-18 00:57:45 +0800, MAX6675, 51.318180
2017-09-18 00:58:09 +0800, MAX6675, 51.363636
2017-09-18 00:58:34 +0800, MAX6675, 51.295456
2017-09-18 00:58:58 +0800, MAX6675, 51.272728
2017-09-18 00:59:23 +0800, MAX6675, 51.386364
2017-09-18 00:59:47 +0800, MAX6675, 51.454544
2017-09-18 01:00:12 +0800, MAX6675, 51.340908
2017-09-18 01:00:36 +0800, MAX6675, 51.522728
2017-09-18 01:01:01 +0800, MAX6675, 51.500000
2017-09-18 01:01:25 +0800, MAX6675, 51.295456
2017-09-18 01:01:49 +0800, MAX6675, 51.500000
2017-09-18 01:02:14 +0800, MAX6675, 51.386364
2017-09-18 01:02:38 +0800, MAX6675, 51.431820
2017-09-18 01:03:03 +0800, MAX6675, 51.477272
2017-09-18 01:03:27 +0800, MAX6675, 51.409092
2017-09-18 01:03:52 +0800, MAX6675, 51.409092
2017-09-18 01:04:16 +0800, MAX6675, 51.522728
2017-09-18 01:04:41 +0800, MAX6675, 51.227272
2017-09-18 01:05:05 +0800, MAX6675, 51.363636
2017-09-18 01:05:30 +0800, MAX6675, 51.409092
2017-09-18 01:05:54 +0800, MAX6675, 51.340908
2017-09-18 01:06:19 +0800, MAX6675, 51.204544
2017-09-18 01:06:43 +0800, MAX6675, 51.295456
2017-09-18 01:07:08 +0800, MAX6675, 51.431820
2017-09-18 01:07:32 +0800, MAX6675, 51.409092
2017-09-18 01:07:57 +0800, MAX6675, 51.409092
2017-09-18 01:08:21 +0800, MAX6675, 51.340908
2017-09-18 01:08:46 +0800, MAX6675, 51.500000
2017-09-18 01:09:10 +0800, MAX6675, 51.454544
2017-09-18 01:09:35 +0800, MAX6675, 51.363636
2017-09-18 01:09:59 +0800, MAX6675, 51.500000
2017-09-18 01:10:24 +0800, MAX6675, 51.454544
2017-09-18 01:10:48 +0800, MAX6675, 51.590908
2017-09-18 01:11:13 +0800, MAX6675, 51.568180
2017-09-18 01:11:37 +0800, MAX6675, 51.454544
2017-09-18 01:12:02 +0800, MAX6675, 51.477272
2017-09-18 01:12:26 +0800, MAX6675, 51.477272
